Year,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Cameroon,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czech,Denmark,Estonia,Euro area (19 countries),European,Finland,France,Georgia,Germany,Greece,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Hong Kong,Latvia,Lithuania,Luxembourg,Madagascar,Malta,Mexico,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Saudi,Senegal,Serbia,Singapore,Slovak,Slovenia,South Africa,Spain,Sweden,Switzertand,Tarkiye,United Kingdom,United States,Zambia
2000,143.709,1,1.725,1.083,1.083,1.829,2.123,710.208,1.485,539.587,8.279,2087.904,308.187,8.278,1.063,38.598,8.083,1.084,1.083,1.083,1.083,1.083,1.976,1.083,1.072,282.179,78.616,44.942,8421.775,1.083,4.077,1.083,107.765,1130.362,7.791,0.863,1.158,1.083,1353.496,1.021,9.456,10.626,1.083,2.201,65.904,8.802,4.346,1.083,2.171,28.129,3.75,710.208,63.166,1.724,1.528,0.929,6.940,1.083,9.162,1.689,0.625,0.661,1,3.111
2001,143.485,1,1.933,1.117,1.117,2.35,2.185,732.398,1.549,634.938,8.277,2299.633,328.871,8.342,1.099,38.035,8.323,1.117,1.117,1.117,1.117,1.117,2.073,1.117,1.117,286.49,97.425,47.186,10260.85,1.117,4.206,1.117,121.529,1290.79,7.799,0.893,1.158,1.117,1317.699,1.048,9.342,11.303,1.117,2.379,68.037,8.992,4.094,1.117,2.906,29.169,3.75,732.398,66.914,1.792,1.605,1.013,8.609,1.117,10.329,1.688,1.226,0.695,1,3.611
2002,140.155,3.063,1.841,1.058,1.058,2.92,2.077,693.713,1.57,688.937,8.277,2504.241,359.818,7.872,1.043,32.739,7.895,1.062,1.058,1.058,1.058,1.058,2.196,1.058,1.058,257.887,91.662,48.61,9311.192,1.058,4.738,1.058,125.388,1251.602,7.799,0.88,1.065,1.058,1366.391,1.01,9.656,11.021,1.058,2.162,64.35,7.984,4.08,1.058,3.306,31.348,3.75,693.713,64.405,1.791,1.505,1.003,10.541,1.058,9.737,1.559,1.507,0.667,1,4.399
2003,121.863,2.901,1.542,0.884,0.884,3.077,1.733,579.897,1.401,691.398,8.277,2877.652,398.662,6.705,0.884,28.209,6.588,0.886,0.884,0.884,0.884,0.884,2.146,0.884,0.884,224.307,76.709,46.583,8577.133,0.884,4.554,0.884,115.933,1191.646,7.787,0.813,0.886,0.884,1238.328,0.879,10.789,9.574,0.884,1.722,54.322,7.08,3.889,0.884,3.32,30.692,3.75,579.897,57.59,1.742,1.221,0.864,7.565,0.884,8.086,1.347,1.501,0.612,1,4.733
2004,102.78,2.923,1.36,0.804,0.804,2.925,1.575,527.338,1.301,609.529,8.277,2628.613,437.935,6.034,0.801,25.7,5.991,0.805,0.804,0.804,0.804,0.804,1.917,0.804,0.804,202.746,70.192,45.316,8938.85,0.804,4.482,0.804,108.193,1146.249,7.788,0.769,0.805,0.804,1868.858,0.803,11.286,8.868,0.804,1.509,49.41,6.741,3.658,0.804,3.264,28.814,3.75,527.338,58.376,1.69,1.071,0.803,6.46,0.804,7.349,1.243,1.426,0.546,1,4.779
2005,99.87,2.904,1.309,0.804,0.804,2.434,1.574,527.258,1.211,559.768,8.194,2320.834,477.787,5.949,0.793,23.957,5.997,0.804,0.804,0.804,0.804,0.804,1.813,0.804,0.804,199.583,62.982,44.1,9704.742,0.804,4.488,0.804,110.218,1024.328,7.777,0.804,0.803,0.804,2003.026,0.805,10.898,8.865,0.804,1.42,49.284,6.442,3.235,0.804,2.914,28.284,3.75,527.258,66.718,1.664,1.03,0.804,6.359,0.804,7.473,1.245,1.344,0.55,1,4.465
2006,98.103,3.054,1.328,0.796,0.796,2.175,1.559,522.426,1.134,530.275,7.973,2361.139,511.302,5.838,0.784,22.596,5.947,0.797,0.796,0.796,0.796,0.796,1.78,0.796,0.796,210.39,70.18,45.307,9159.317,0.796,4.456,0.796,116.299,955.341,7.768,0.797,0.797,0.796,2142.302,0.794,10.899,8.796,0.796,1.542,48.802,6.413,3.103,0.796,2.809,27.191,3.75,522.426,67.155,1.589,0.986,0.797,6.772,0.796,7.378,1.254,1.428,0.543,1,3.602
2007,90.428,3.096,1.195,0.73,0.73,1.947,1.429,478.634,1.074,522.464,7.608,2078.292,516.617,5.365,0.728,20.294,5.444,0.731,0.73,0.73,0.73,0.73,1.67,0.73,0.73,183.626,64.055,41.349,9141,0.730,4.108,0.73,117.754,929.376,7.801,0.731,0.731,0.73,1873.877,0.726,10.928,8.192,0.73,1.361,44.73,5.862,2.768,0.73,2.438,25.581,3.75,478.634,58.45,1.507,0.82,0.73,7.045,0.73,6.759,1.2,1.303,0.5,1,4.002
2008,83.895,3.144,1.192,0.68,0.68,1.834,1.337,446,1.067,522.461,6.949,1967.711,526.236,4.935,0.68,17.072,5.098,0.683,0.68,0.68,0.68,0.68,1.491,0.68,0.68,172.113,87.948,43.505,9698.962,0.68,3.588,0.68,103.359,1100.126,7.787,0.684,0.683,0.68,1708.371,0.68,11.13,7.75,0.68,1.423,41.868,5.64,2.409,0.68,2.519,24.853,3.75,446,55.729,1.415,0.709,0.68,8.261,0.68,6.591,1.083,1.302,0.544,1,3.745
2009,94.978,3.71,1.282,0.717,0.717,1.999,1.407,470.293,1.142,560.86,6.831,2158.256,573.288,5.284,0.717,19.063,5.361,0.719,0.717,0.717,0.717,0.717,1.67,0.717,0.717,202.342,123.638,48.405,10389.938,0.717,3.932,0.717,93.57,1277.246,7.752,0.719,0.719,0.717,956.206,0.717,13.513,8.057,0.717,1.601,44.101,6.288,3.12,0.717,3.049,31.74,3.75,470.293,67.605,1455,0.717,0.717,8.474,0.717,7.654,1.088,1.55,0.642,1,5.045
2010,103.937,3.896,1.09,0.754,0.754,1.759,1.477,494.794,1.03,510.249,6.77,1898.57,525.829,5.498,0.754,19.098,5.624,0.755,0.754,0.754,0.754,0.754,1.782,0.754,0.754,207.944,122.242,45.726,9090.433,0.754,3.739,0.754,87.78,1156.46,7.769,0.755,0.755,0.754,2089.95,0.754,12.636,8.417,0.754,1.388,46.485,6.044,3.015,0.754,3.178,30.368,3.75,494.794,77.723,1.364,0.754,0.754,7.321,0.754,7.208,1.043,1.503,0.647,1,4.798
2011,100.896,4.11,0.969,0.718,0.718,1.673,1.406,471.249,0.989,483.668,6.461,1848.139,505.664,5.344,0.718,17.696,5.369,0.718,0.718,0.718,0.718,0.718,1.686,0.718,0.718,201.055,115.954,46.67,8770.433,0.718,3.578,0.718,79.807,1108.233,7.784,0.713,0.719,0.718,2025.118,0.718,12.423,8.09,0.718,1.266,44.231,5.605,2.963,0.718,3.049,29.382,3.75,471.249,73.355,1.258,0.718,0.718,7.261,0.718,6.494,0.888,1.675,0.624,1,4.862
2012,108.184,4.537,0.966,0.778,0.778,1.953,1.522,510.556,0.999,486.471,6.312,1796.896,502.901,5.85,0.778,19.578,5.792,0.778,0.778,0.778,0.778,0.778,1.651,0.778,0.778,225.104,125.083,53.437,9386.629,0.778,3.856,0.778,79.79,1126.807,7.756,0.778,0.778,0.778,2194.967,0.778,13.169,8.628,0.778,1.234,47.89,5.817,3.257,0.778,3.468,30.84,3.75,510.556,87.959,1.25,0.778,0.778,8.21,0.778,6.775,0.938,1.796,0.633,1,5.147
2013,105.669,5.459,1.036,0.753,0.753,2.156,1.474,493.9,1.03,495.273,6.196,1868.785,499.767,5.705,0.753,19.571,5.616,0.753,0.753,0.753,0.753,0.753,1.663,0.753,0.753,223.695,122.179,58.598,10461.24,0.753,3.611,0.753,97.596,1094.983,7.756,0.753,0.753,0.753,2206.914,0.753,12.772,8.406,0.753,1.219,46.395,5.875,3.161,0.753,3.328,31.837,3.75,493.9,85.159,1.251,0.753,0.753,9.655,0.753,6.514,0.927,1.904,0.64,1,5.896
2014,105.48,8.075,1.109,0.753,0.753,2.353,1.474,493.757,1.105,570.348,6.143,2001.781,538.317,5.748,0.753,20.758,5.612,0.753,0.753,0.753,0.753,0.753,1.766,0.753,0.753,232.602,116.767,61.03,11865.211,0.753,3.578,0.753,105.945,1052.84,7.754,0.753,0.753,0.753,2414.812,0.753,13.292,8.406,0.753,1.205,46.437,6.302,3.155,0.753,3.349,38.378,3.75,493.757,88.405,1.267,0.753,0.753,10.853,0.753,6.861,0.916,2.189,0.608,1,6.154
2015,125.962,9.233,1.331,0.901,0.901,3.327,1.764,591.212,1.279,654.124,6.227,2741.881,534.566,6.858,0.901,24.599,6.728,0.901,0.901,0.901,0.901,0.901,2.269,0.901,0.901,279.332,131.919,64.152,13389.413,0.901,3.887,0.901,121.044,1130.953,7.752,0.901,0.901,0.901,2933.508,0.901,15.848,9.764,0.901,1.434,55.537,8.064,3.769,0.901,4.006,60.938,3.75,591.212,108.811,1.375,901,0.901,12.759,0.901,8.435,0.962,2.72,0.655,1,8.632
2016,124.142,14.758,1.345,0.903,0.903,3.491,1.768,592.606,1.326,676.958,6.644,3054.122,544.739,6.806,0.903,24.44,6.732,0.903,0.903,0.903,0.903,0.903,2.367,0.903,0.903,281.523,120.812,67.195,13308.327,0.903,3.841,0.903,108.793,1160.767,7.762,0.903,0.903,0.903,3176.539,0.903,18.664,9.807,0.903,1.437,55.732,8.4,3.943,0.903,4.059,67.056,3.75,592.606,111.278,1.382,0.903,0.903,14.71,0.903,8.562,0.985,3.02,0.741,1,10.307
2017,119.1,16.563,1.305,0.885,0.885,3.191,1.735,580.657,1.298,648.834,6.759,2951.327,567.513,6.624,0.885,23.376,6.603,0.885,0.885,0.885,0.885,0.885,2.51,0.885,0.885,274.433,106.84,65.122,13380.834,0.885,3.6,0.885,112.166,1131.001,7.793,0.885,0.885,0.885,3116.11,0.885,18.927,9.692,0.885,1.407,54.665,8.272,3.779,0.885,4.052,58.343,3.75,580.657,107.759,1.381,0.885,0.885,13.324,0.885,8.549,0.985,3.648,0.777,1,9.518
2018,107.989,28.095,1.338,0.847,0.847,3.654,1.657,555.446,1.296,641.277,6.616,2955.704,576.973,6.279,0.847,21.73,6,0.847,0.847,0.847,0.847,0.847,2.534,0.847,0.847,270.212,108.3,68.389,14236.939,0.847,3.591,0.847,110.423,1100.163,7.838,0.847,0.847,0.847,3334.752,0.847,19.244,9.386,0.847,1.445,52.107,8.133,3.612,0.847,3.942,62.668,3.75,555.446,100.175,1.349,0.847,0.847,13.234,0.847,8.693,0.978,4.828,0.75,1,10.458
2019,109.851,48.148,1.439,0.893,0.893,3.944,1.747,585.911,1.327,702.897,6.908,3280.832,587.295,6.623,0.893,22.932,6.669,0.893,0.893,0.893,0.893,0.893,2.818,0.893,0.893,290.66,122.607,70.42,14147.671,0.893,3.565,0.893,109.01,1165.358,7.836,0.893,0.893,0.893,3618.322,0.893,19.264,9.617,0.893,1.518,54.947,8.8,3.839,0.893,4.238,64.738,3.75,585.911,105.25,1.364,0.893,0.893,14.448,0.893,9.458,0.994,5.674,0.783,1,12.89
2020,108.65,70.539,1.453,0.876,0.876,5.155,1.716,575.586,1.341,792.727,6.901,3694.854,584.901,6.614,0.876,23.21,6.542,0.876,0.876,0.876,0.876,0.876,3.109,0.876,0.876,307.997,135.422,74.1,14582.203,0.876,3.442,0.876,106.775,1180.266,7.757,0.876,0.876,0.876,3787.754,0.876,21.486,9.497,0.876,1.542,54.144,9.416,3.9,0.876,4.244,72.105,3.75,575.586,103.163,1.38,0.876,0.876,16.459,0.876,9.21,0.939,7.009,0.78,1,18.344
2021,103.52,94.991,1.331,0.845,0.845,5.394,1.654,554.531,1.254,758.95,6.449,3743.59,620.785,6.36,0.845,21.678,6.287,0.845,0.845,0.845,0.845,0.845,3.222,0.845,0.845,303.141,126.989,73.918,14308.144,0.845,3.23,0.845,109.754,1143.958,7.773,0.845,0.845,0.845,3829.978,0.845,20.272,8.988,0.845,1.414,52.102,8.59,3.862,0.845,4.16,73.654,3.75,554.531,99.39,1.343,0.845,0.845,14.779,0.845,8.577,0.914,8150,0.727,1,20.018
